measurement_id,row,col,aod_055,tile_id,aod_datetime
30440,127,432,-28672.0,h27v07,2023-12-15 07:55:00+00:00
30441,127,432,-28672.0,h27v07,2023-12-15 07:55:00+00:00
35880,72,397,-28672.0,h27v07,2023-12-15 07:55:00+00:00
35881,72,397,-28672.0,h27v07,2023-12-15 07:55:00+00:00
39597,124,425,-28672.0,h27v07,2023-12-15 07:55:00+00:00
39598,124,425,-28672.0,h27v07,2023-12-15 07:55:00+00:00
45403,137,437,-28672.0,h27v07,2023-12-15 07:55:00+00:00
45404,137,437,-28672.0,h27v07,2023-12-15 07:55:00+00:00
50448,187,433,-28672.0,h27v07,2023-12-15 07:55:00+00:00
50449,187,433,-28672.0,h27v07,2023-12-15 07:55:00+00:00
54396,126,433,-28672.0,h27v07,2023-12-15 07:55:00+00:00
54397,126,433,-28672.0,h27v07,2023-12-15 07:55:00+00:00
58183,124,425,-28672.0,h27v07,2023-12-15 07:55:00+00:00
58184,124,425,-28672.0,h27v07,2023-12-15 07:55:00+00:00
62352,128,433,-28672.0,h27v07,2023-12-15 07:55:00+00:00
62353,128,433,-28672.0,h27v07,2023-12-15 07:55:00+00:00
65989,128,433,-28672.0,h27v07,2023-12-15 07:55:00+00:00
65990,128,433,-28672.0,h27v07,2023-12-15 07:55:00+00:00
69620,129,432,-28672.0,h27v07,2023-12-15 07:55:00+00:00
69621,129,432,-28672.0,h27v07,2023-12-15 07:55:00+00:00
73165,128,431,-28672.0,h27v07,2023-12-15 07:55:00+00:00
73166,128,431,-28672.0,h27v07,2023-12-15 07:55:00+00:00
83008,147,446,-28672.0,h27v07,2023-12-15 07:55:00+00:00
83009,147,446,-28672.0,h27v07,2023-12-15 07:55:00+00:00
5223,75,344,-28672.0,h27v07,2024-03-03 06:40:00+00:00
11021,137,437,-28672.0,h27v07,2024-03-03 06:40:00+00:00
16800,206,535,-28672.0,h27v07,2024-03-03 06:40:00+00:00
22603,137,437,-28672.0,h27v07,2024-03-03 06:40:00+00:00
28238,140,450,-28672.0,h27v07,2024-03-03 06:40:00+00:00
34017,127,432,-28672.0,h27v07,2024-03-03 06:40:00+00:00
43192,124,425,-28672.0,h27v07,2024-03-03 06:40:00+00:00
48992,137,437,-28672.0,h27v07,2024-03-03 06:40:00+00:00
52179,187,433,-28672.0,h27v07,2024-03-03 06:40:00+00:00
56367,126,433,-28672.0,h27v07,2024-03-03 06:40:00+00:00
60147,124,425,-28672.0,h27v07,2024-03-03 06:40:00+00:00
64321,128,433,-28672.0,h27v07,2024-03-03 06:40:00+00:00
67956,128,433,-28672.0,h27v07,2024-03-03 06:40:00+00:00
71570,129,432,-28672.0,h27v07,2024-03-03 06:40:00+00:00
75089,128,431,-28672.0,h27v07,2024-03-03 06:40:00+00:00
77351,143,434,-28672.0,h27v07,2024-03-03 06:40:00+00:00
77352,143,434,-28672.0,h27v07,2024-03-03 06:40:00+00:00
79731,219,443,-28672.0,h27v07,2024-03-03 06:40:00+00:00
79732,219,443,-28672.0,h27v07,2024-03-03 06:40:00+00:00
82040,75,343,-28672.0,h27v07,2024-03-03 06:40:00+00:00
82041,75,343,-28672.0,h27v07,2024-03-03 06:40:00+00:00
84536,147,446,-28672.0,h27v07,2024-03-03 06:40:00+00:00
86472,123,422,-28672.0,h27v07,2024-03-03 06:40:00+00:00
89811,77,345,-28672.0,h27v07,2024-03-03 06:40:00+00:00
91465,73,346,-28672.0,h27v07,2024-03-03 06:40:00+00:00
94043,77,344,-28672.0,h27v07,2024-03-03 06:40:00+00:00
96631,75,344,-28672.0,h27v07,2024-03-03 06:40:00+00:00
98254,78,345,-28672.0,h27v07,2024-03-03 06:40:00+00:00
99779,78,346,-28672.0,h27v07,2024-03-03 06:40:00+00:00
100909,77,344,-28672.0,h27v07,2024-03-03 06:40:00+00:00
102469,77,346,-28672.0,h27v07,2024-03-03 06:40:00+00:00
104038,153,443,-28672.0,h27v07,2024-03-03 06:40:00+00:00
105540,145,446,-28672.0,h27v07,2024-03-03 06:40:00+00:00
123056,206,538,-28672.0,h27v07,2024-03-03 06:40:00+00:00
123057,206,538,-28672.0,h27v07,2024-03-03 06:40:00+00:00
140755,145,445,-28672.0,h27v07,2024-03-03 06:40:00+00:00
140756,145,445,-28672.0,h27v07,2024-03-03 06:40:00+00:00
166216,83,295,-28672.0,h27v07,2024-03-03 06:40:00+00:00
166217,83,295,-28672.0,h27v07,2024-03-03 06:40:00+00:00
183481,171,466,-28672.0,h27v07,2024-03-03 06:40:00+00:00
183482,171,466,-28672.0,h27v07,2024-03-03 06:40:00+00:00
200511,139,440,-28672.0,h27v07,2024-03-03 06:40:00+00:00
200512,139,440,-28672.0,h27v07,2024-03-03 06:40:00+00:00
209939,180,395,-28672.0,h27v07,2024-03-03 06:40:00+00:00
209940,180,395,-28672.0,h27v07,2024-03-03 06:40:00+00:00
211551,83,352,-28672.0,h27v07,2024-03-03 06:40:00+00:00
212976,72,338,-28672.0,h27v07,2024-03-03 06:40:00+00:00
214484,78,347,-28672.0,h27v07,2024-03-03 06:40:00+00:00
216028,79,345,-28672.0,h27v07,2024-03-03 06:40:00+00:00
218495,137,471,-28672.0,h27v07,2024-03-03 06:40:00+00:00
219981,72,340,-28672.0,h27v07,2024-03-03 06:40:00+00:00
221469,74,344,-28672.0,h27v07,2024-03-03 06:40:00+00:00
223873,76,344,-28672.0,h27v07,2024-03-03 06:40:00+00:00
225308,85,353,-28672.0,h27v07,2024-03-03 06:40:00+00:00
226701,75,345,-28672.0,h27v07,2024-03-03 06:40:00+00:00
227970,74,338,-28672.0,h27v07,2024-03-03 06:40:00+00:00
229157,91,354,-28672.0,h27v07,2024-03-03 06:40:00+00:00
230297,155,442,-28672.0,h27v07,2024-03-03 06:40:00+00:00
231167,77,345,-28672.0,h27v07,2024-03-03 06:40:00+00:00
232290,81,348,-28672.0,h27v07,2024-03-03 06:40:00+00:00
233336,84,349,-28672.0,h27v07,2024-03-03 06:40:00+00:00
245177,48,387,-28672.0,h27v07,2024-03-03 06:40:00+00:00
245178,48,387,-28672.0,h27v07,2024-03-03 06:40:00+00:00
250290,263,505,-28672.0,h27v07,2024-03-03 06:40:00+00:00
250291,263,505,-28672.0,h27v07,2024-03-03 06:40:00+00:00
106220,206,538,-28672.0,h27v07,2021-10-24 08:05:00+00:00
106221,206,538,-28672.0,h27v07,2021-10-24 08:05:00+00:00
123813,145,445,-28672.0,h27v07,2021-10-24 08:05:00+00:00
123814,145,445,-28672.0,h27v07,2021-10-24 08:05:00+00:00
149283,83,295,-28672.0,h27v07,2021-10-24 08:05:00+00:00
149284,83,295,-28672.0,h27v07,2021-10-24 08:05:00+00:00
166947,171,466,-28672.0,h27v07,2021-10-24 08:05:00+00:00
166948,171,466,-28672.0,h27v07,2021-10-24 08:05:00+00:00
184211,139,440,-28672.0,h27v07,2021-10-24 08:05:00+00:00
184212,139,440,-28672.0,h27v07,2021-10-24 08:05:00+00:00
